"평점","날짜","시간대","월","요일","요금","주"
1,"2019-07-03","나이트","July","Wednesday",7000,"평일"
10,"2019-07-03","나이트","July","Wednesday",7000,"평일"
8,"2019-07-02","데이라이트","July","Tuesday",9000,"평일"
10,"2019-07-02","모닝","July","Tuesday",6000,"평일"
8,"2019-07-02","나이트","July","Tuesday",7000,"평일"
10,"2019-06-30","프라임","June","Sunday",10000,"주말"
10,"2019-06-30","프라임","June","Sunday",10000,"주말"
5,"2019-06-30","브런치","June","Sunday",10000,"주말"
5,"2019-06-30","나이트","June","Sunday",8000,"주말"
10,"2019-06-29","프라임","June","Saturday",10000,"주말"
10,"2019-06-29","나이트","June","Saturday",8000,"주말"
10,"2019-06-28","브런치","June","Friday",10000,"주말"
6,"2019-06-27","나이트","June","Thursday",7000,"평일"
10,"2019-06-26","나이트","June","Wednesday",7000,"평일"
1,"2019-06-25","데이라이트","June","Tuesday",9000,"평일"
10,"2019-06-25","브런치","June","Tuesday",8000,"평일"
6,"2019-06-25","나이트","June","Tuesday",7000,"평일"
1,"2019-06-24","프라임","June","Monday",9000,"평일"
7,"2019-06-24","나이트","June","Monday",7000,"평일"
10,"2019-06-23","문라이트","June","Sunday",10000,"주말"
10,"2019-06-23","나이트","June","Sunday",8000,"주말"
9,"2019-06-21","나이트","June","Friday",8000,"주말"
10,"2019-06-20","모닝","June","Thursday",6000,"평일"
10,"2019-06-18","프라임","June","Tuesday",9000,"평일"
10,"2019-06-18","프라임","June","Tuesday",9000,"평일"
10,"2019-06-18","나이트","June","Tuesday",7000,"평일"
7,"2019-06-13","데이라이트","June","Thursday",9000,"평일"
10,"2019-06-12","모닝","June","Wednesday",6000,"평일"
10,"2019-06-12","나이트","June","Wednesday",7000,"평일"
8,"2019-06-12","나이트","June","Wednesday",7000,"평일"
10,"2019-06-11","나이트","June","Tuesday",7000,"평일"
8,"2019-06-11","나이트","June","Tuesday",7000,"평일"
4,"2019-06-10","문라이트","June","Monday",8000,"평일"
7,"2019-06-10","프라임","June","Monday",9000,"평일"
10,"2019-06-09","문라이트","June","Sunday",10000,"주말"
6,"2019-06-09","모닝","June","Sunday",7000,"주말"
10,"2019-06-09","나이트","June","Sunday",8000,"주말"
10,"2019-06-09","나이트","June","Sunday",8000,"주말"
10,"2019-06-08","문라이트","June","Saturday",10000,"주말"
10,"2019-06-08","데이라이트","June","Saturday",10000,"주말"
10,"2019-06-08","나이트","June","Saturday",8000,"주말"
10,"2019-06-08","나이트","June","Saturday",8000,"주말"
8,"2019-06-07","프라임","June","Friday",10000,"주말"
10,"2019-06-07","데이라이트","June","Friday",10000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-06","문라이트","June","Thursday",8000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
8,"2019-06-06","나이트","June","Thursday",7000,"평일"
10,"2019-06-05","브런치","June","Wednesday",8000,"평일"
1,"2019-06-05","브런치","June","Wednesday",8000,"평일"
10,"2019-06-05","브런치","June","Wednesday",8000,"평일"
10,"2019-06-04","브런치","June","Tuesday",8000,"평일"
10,"2019-06-04","나이트","June","Tuesday",7000,"평일"
10,"2019-06-03","문라이트","June","Monday",8000,"평일"
9,"2019-06-03","프라임","June","Monday",9000,"평일"
10,"2019-06-03","프라임","June","Monday",9000,"평일"
10,"2019-06-03","브런치","June","Monday",8000,"평일"
8,"2019-06-03","모닝","June","Monday",6000,"평일"
6,"2019-06-03","나이트","June","Monday",7000,"평일"
5,"2019-06-03","나이트","June","Monday",7000,"평일"
10,"2019-06-03","나이트","June","Monday",7000,"평일"
10,"2019-06-03","나이트","June","Monday",7000,"평일"
10,"2019-06-03","나이트","June","Monday",7000,"평일"
10,"2019-06-02","프라임","June","Sunday",10000,"주말"
10,"2019-06-02","브런치","June","Sunday",10000,"주말"
10,"2019-06-02","나이트","June","Sunday",8000,"주말"
10,"2019-06-02","나이트","June","Sunday",8000,"주말"
9,"2019-06-01","문라이트","June","Saturday",10000,"주말"
8,"2019-06-01","프라임","June","Saturday",10000,"주말"
10,"2019-06-01","데이라이트","June","Saturday",10000,"주말"
10,"2019-06-01","데이라이트","June","Saturday",10000,"주말"
10,"2019-06-01","나이트","June","Saturday",8000,"주말"
2,"2019-06-01","나이트","June","Saturday",8000,"주말"
10,"2019-06-01","나이트","June","Saturday",8000,"주말"
10,"2019-05-31","프라임","May","Friday",10000,"주말"
7,"2019-05-31","브런치","May","Friday",10000,"주말"
6,"2019-05-31","나이트","May","Friday",8000,"주말"
1,"2019-05-30","문라이트","May","Thursday",8000,"평일"
10,"2019-05-30","데이라이트","May","Thursday",9000,"평일"
2,"2019-05-29","프라임","May","Wednesday",9000,"평일"
6,"2019-05-29","프라임","May","Wednesday",9000,"평일"
9,"2019-05-29","프라임","May","Wednesday",9000,"평일"
6,"2019-05-28","문라이트","May","Tuesday",8000,"평일"
10,"2019-05-28","프라임","May","Tuesday",9000,"평일"
6,"2019-05-28","프라임","May","Tuesday",9000,"평일"
9,"2019-05-28","프라임","May","Tuesday",9000,"평일"
10,"2019-05-28","모닝","May","Tuesday",6000,"평일"
6,"2019-05-28","나이트","May","Tuesday",7000,"평일"
8,"2019-05-28","나이트","May","Tuesday",7000,"평일"
10,"2019-05-27","프라임","May","Monday",9000,"평일"
4,"2019-05-27","프라임","May","Monday",9000,"평일"
1,"2019-05-27","모닝","May","Monday",6000,"평일"
1,"2019-05-27","나이트","May","Monday",7000,"평일"
10,"2019-05-26","프라임","May","Sunday",10000,"주말"
10,"2019-05-26","프라임","May","Sunday",10000,"주말"
10,"2019-05-26","브런치","May","Sunday",10000,"주말"
5,"2019-05-26","브런치","May","Sunday",10000,"주말"
10,"2019-05-26","브런치","May","Sunday",10000,"주말"
10,"2019-05-26","나이트","May","Sunday",8000,"주말"
1,"2019-05-23","브런치","May","Thursday",8000,"평일"
7,"2019-05-22","프라임","May","Wednesday",9000,"평일"
9,"2019-05-21","문라이트","May","Tuesday",8000,"평일"
10,"2019-05-18","문라이트","May","Saturday",10000,"주말"
10,"2019-05-17","문라이트","May","Friday",10000,"주말"
10,"2019-05-17","프라임","May","Friday",10000,"주말"
10,"2019-05-15","프라임","May","Wednesday",9000,"평일"
10,"2019-05-14","프라임","May","Tuesday",9000,"평일"
10,"2019-05-14","프라임","May","Tuesday",9000,"평일"
8,"2019-05-14","모닝","May","Tuesday",6000,"평일"
10,"2019-05-10","나이트","May","Friday",8000,"주말"
10,"2019-05-08","나이트","May","Wednesday",7000,"평일"
8,"2019-05-07","프라임","May","Tuesday",9000,"평일"
10,"2019-04-30","나이트","April","Tuesday",7000,"평일"
7,"2019-04-24","데이라이트","April","Wednesday",9000,"평일"
10,"2019-04-21","프라임","April","Sunday",10000,"주말"
7,"2019-04-21","나이트","April","Sunday",8000,"주말"
7,"2019-04-17","프라임","April","Wednesday",9000,"평일"
10,"2019-04-16","나이트","April","Tuesday",7000,"평일"
6,"2019-04-07","프라임","April","Sunday",10000,"주말"
7,"2019-04-04","문라이트","April","Thursday",8000,"평일"
1,"2019-04-03","프라임","April","Wednesday",9000,"평일"
8,"2019-04-02","문라이트","April","Tuesday",8000,"평일"
8,"2019-03-29","프라임","March","Friday",10000,"주말"
10,"2019-03-29","브런치","March","Friday",10000,"주말"
10,"2019-03-27","프라임","March","Wednesday",9000,"평일"
8,"2019-03-26","문라이트","March","Tuesday",8000,"평일"
7,"2019-03-26","프라임","March","Tuesday",9000,"평일"
4,"2019-03-21","데이라이트","March","Thursday",9000,"평일"
10,"2019-03-19","데이라이트","March","Tuesday",9000,"평일"
8,"2019-03-17","문라이트","March","Sunday",10000,"주말"
10,"2019-03-17","나이트","March","Sunday",8000,"주말"
10,"2019-03-17","나이트","March","Sunday",8000,"주말"
10,"2019-03-15","프라임","March","Friday",10000,"주말"
10,"2019-03-15","프라임","March","Friday",10000,"주말"
8,"2019-03-13","프라임","March","Wednesday",9000,"평일"
7,"2019-03-13","나이트","March","Wednesday",7000,"평일"
9,"2019-03-09","프라임","March","Saturday",10000,"주말"
10,"2019-03-08","프라임","March","Friday",10000,"주말"
9,"2019-03-08","프라임","March","Friday",10000,"주말"
10,"2019-03-08","프라임","March","Friday",10000,"주말"
10,"2019-03-08","나이트","March","Friday",8000,"주말"
10,"2019-03-04","나이트","March","Monday",7000,"평일"
6,"2019-03-03","나이트","March","Sunday",8000,"주말"
9,"2019-03-01","프라임","March","Friday",10000,"주말"
10,"2019-03-01","프라임","March","Friday",10000,"주말"
10,"2019-03-01","나이트","March","Friday",8000,"주말"
10,"2019-02-28","나이트","February","Thursday",7000,"평일"
10,"2019-02-27","나이트","February","Wednesday",7000,"평일"
10,"2019-02-23","문라이트","February","Saturday",10000,"주말"
6,"2019-02-22","데이라이트","February","Friday",10000,"주말"
10,"2019-02-22","나이트","February","Friday",8000,"주말"
10,"2019-02-21","문라이트","February","Thursday",8000,"평일"
10,"2019-02-19","나이트","February","Tuesday",7000,"평일"
10,"2019-02-17","프라임","February","Sunday",10000,"주말"
10,"2019-02-17","나이트","February","Sunday",8000,"주말"
10,"2019-02-16","프라임","February","Saturday",10000,"주말"
10,"2019-02-16","나이트","February","Saturday",8000,"주말"
10,"2019-02-16","나이트","February","Saturday",8000,"주말"
10,"2019-02-16","나이트","February","Saturday",8000,"주말"
10,"2019-02-15","나이트","February","Friday",8000,"주말"
10,"2019-02-13","문라이트","February","Wednesday",8000,"평일"
9,"2019-02-12","모닝","February","Tuesday",6000,"평일"
10,"2019-02-10","프라임","February","Sunday",10000,"주말"
10,"2019-02-10","프라임","February","Sunday",10000,"주말"
10,"2019-02-10","나이트","February","Sunday",8000,"주말"
7,"2019-02-08","문라이트","February","Friday",10000,"주말"
8,"2019-02-06","나이트","February","Wednesday",7000,"평일"
10,"2019-02-04","데이라이트","February","Monday",9000,"평일"
10,"2019-02-04","데이라이트","February","Monday",9000,"평일"
10,"2019-02-02","나이트","February","Saturday",8000,"주말"
10,"2019-02-01","나이트","February","Friday",8000,"주말"
7,"2019-01-31","프라임","January","Thursday",9000,"평일"
10,"2019-01-31","모닝","January","Thursday",6000,"평일"
1,"2019-01-31","나이트","January","Thursday",7000,"평일"
9,"2019-01-31","나이트","January","Thursday",7000,"평일"
2,"2019-01-30","프라임","January","Wednesday",9000,"평일"
10,"2019-01-27","문라이트","January","Sunday",10000,"주말"
10,"2019-01-25","데이라이트","January","Friday",10000,"주말"
10,"2019-01-25","데이라이트","January","Friday",10000,"주말"
10,"2019-01-21","나이트","January","Monday",7000,"평일"
2,"2019-01-19","프라임","January","Saturday",10000,"주말"
10,"2019-01-19","데이라이트","January","Saturday",10000,"주말"
10,"2019-01-17","나이트","January","Thursday",7000,"평일"
6,"2019-01-16","프라임","January","Wednesday",9000,"평일"
6,"2019-01-16","나이트","January","Wednesday",7000,"평일"
8,"2019-01-15","나이트","January","Tuesday",7000,"평일"
10,"2019-01-14","문라이트","January","Monday",8000,"평일"
4,"2019-01-13","브런치","January","Sunday",10000,"주말"
10,"2019-01-12","문라이트","January","Saturday",10000,"주말"
10,"2019-01-12","프라임","January","Saturday",10000,"주말"
10,"2019-01-12","나이트","January","Saturday",8000,"주말"
8,"2019-01-11","프라임","January","Friday",10000,"주말"
10,"2019-01-10","문라이트","January","Thursday",8000,"평일"
7,"2019-01-10","프라임","January","Thursday",9000,"평일"
10,"2019-01-10","나이트","January","Thursday",7000,"평일"
10,"2019-01-07","프라임","January","Monday",9000,"평일"
7,"2019-01-04","나이트","January","Friday",8000,"주말"
10,"2018-12-29","나이트","December","Saturday",8000,"주말"
10,"2018-12-28","나이트","December","Friday",8000,"주말"
10,"2018-12-25","나이트","December","Tuesday",7000,"평일"
1,"2018-12-24","데이라이트","December","Monday",9000,"평일"
1,"2018-12-20","문라이트","December","Thursday",8000,"평일"
10,"2018-12-16","모닝","December","Sunday",7000,"주말"
10,"2018-12-15","나이트","December","Saturday",8000,"주말"
10,"2018-12-11","문라이트","December","Tuesday",8000,"평일"
1,"2018-12-09","나이트","December","Sunday",8000,"주말"
10,"2018-12-09","나이트","December","Sunday",8000,"주말"
10,"2018-12-08","프라임","December","Saturday",10000,"주말"
10,"2018-12-08","나이트","December","Saturday",8000,"주말"
8,"2018-12-08","나이트","December","Saturday",8000,"주말"
10,"2018-12-07","문라이트","December","Friday",10000,"주말"
10,"2018-12-04","브런치","December","Tuesday",8000,"평일"
6,"2018-12-02","브런치","December","Sunday",10000,"주말"
1,"2018-12-02","브런치","December","Sunday",10000,"주말"
6,"2018-11-27","프라임","November","Tuesday",9000,"평일"
9,"2018-11-26","프라임","November","Monday",9000,"평일"
10,"2018-11-24","프라임","November","Saturday",10000,"주말"
6,"2018-11-21","프라임","November","Wednesday",9000,"평일"
10,"2018-11-21","나이트","November","Wednesday",7000,"평일"
10,"2018-11-17","나이트","November","Saturday",8000,"주말"
10,"2018-11-16","프라임","November","Friday",10000,"주말"
10,"2018-11-16","프라임","November","Friday",10000,"주말"
1,"2018-11-16","데이라이트","November","Friday",10000,"주말"
9,"2018-11-15","나이트","November","Thursday",7000,"평일"
10,"2018-11-15","나이트","November","Thursday",7000,"평일"
10,"2018-11-14","문라이트","November","Wednesday",8000,"평일"
10,"2018-11-12","데이라이트","November","Monday",9000,"평일"
10,"2018-11-12","나이트","November","Monday",7000,"평일"
6,"2018-11-11","문라이트","November","Sunday",10000,"주말"
8,"2018-11-11","프라임","November","Sunday",10000,"주말"
9,"2018-11-03","나이트","November","Saturday",8000,"주말"
1,"2018-11-02","데이라이트","November","Friday",10000,"주말"
5,"2018-11-01","나이트","November","Thursday",7000,"평일"
10,"2018-10-28","프라임","October","Sunday",10000,"주말"
10,"2018-10-28","나이트","October","Sunday",8000,"주말"
8,"2018-10-26","문라이트","October","Friday",10000,"주말"
10,"2018-10-26","나이트","October","Friday",8000,"주말"
2,"2018-10-21","모닝","October","Sunday",7000,"주말"
8,"2018-10-19","프라임","October","Friday",10000,"주말"
8,"2018-10-19","데이라이트","October","Friday",10000,"주말"
1,"2018-10-19","모닝","October","Friday",7000,"주말"
1,"2018-10-18","나이트","October","Thursday",7000,"평일"
10,"2018-10-15","문라이트","October","Monday",8000,"평일"
10,"2018-10-15","나이트","October","Monday",7000,"평일"
10,"2018-10-15","나이트","October","Monday",7000,"평일"
10,"2018-10-14","나이트","October","Sunday",8000,"주말"
7,"2018-10-13","나이트","October","Saturday",8000,"주말"
10,"2018-10-08","모닝","October","Monday",6000,"평일"
5,"2018-10-07","프라임","October","Sunday",10000,"주말"
9,"2018-10-07","데이라이트","October","Sunday",10000,"주말"
3,"2018-10-07","나이트","October","Sunday",8000,"주말"
1,"2018-10-03","나이트","October","Wednesday",7000,"평일"
10,"2018-09-28","나이트","September","Friday",8000,"주말"
10,"2018-09-24","프라임","September","Monday",9000,"평일"
10,"2018-09-21","나이트","September","Friday",8000,"주말"
1,"2018-09-20","나이트","September","Thursday",7000,"평일"
10,"2018-09-20","나이트","September","Thursday",7000,"평일"
10,"2018-09-18","문라이트","September","Tuesday",8000,"평일"
10,"2018-09-18","문라이트","September","Tuesday",8000,"평일"
10,"2018-09-17","데이라이트","September","Monday",9000,"평일"
10,"2018-09-17","데이라이트","September","Monday",9000,"평일"
10,"2018-09-17","나이트","September","Monday",7000,"평일"
10,"2018-09-14","프라임","September","Friday",10000,"주말"
10,"2018-09-11","브런치","September","Tuesday",8000,"평일"
10,"2018-09-09","나이트","September","Sunday",8000,"주말"
10,"2018-09-07","나이트","September","Friday",8000,"주말"
10,"2018-09-05","프라임","September","Wednesday",9000,"평일"
7,"2018-08-29","모닝","August","Wednesday",6000,"평일"
10,"2018-08-26","브런치","August","Sunday",10000,"주말"
10,"2018-08-26","나이트","August","Sunday",8000,"주말"
5,"2018-08-21","모닝","August","Tuesday",6000,"평일"
8,"2018-08-20","데이라이트","August","Monday",9000,"평일"
7,"2018-08-16","문라이트","August","Thursday",8000,"평일"
1,"2018-08-16","데이라이트","August","Thursday",9000,"평일"
10,"2018-08-13","데이라이트","August","Monday",9000,"평일"
10,"2018-08-12","나이트","August","Sunday",8000,"주말"
2,"2018-08-08","문라이트","August","Wednesday",8000,"평일"
10,"2018-08-08","나이트","August","Wednesday",7000,"평일"
6,"2018-08-05","문라이트","August","Sunday",10000,"주말"
10,"2018-08-05","프라임","August","Sunday",10000,"주말"
9,"2018-08-04","프라임","August","Saturday",10000,"주말"
1,"2018-08-04","나이트","August","Saturday",8000,"주말"
7,"2018-08-04","나이트","August","Saturday",8000,"주말"
5,"2018-08-03","나이트","August","Friday",8000,"주말"
1,"2018-08-02","모닝","August","Thursday",6000,"평일"
10,"2018-07-30","프라임","July","Monday",9000,"평일"
10,"2018-07-30","프라임","July","Monday",9000,"평일"
10,"2018-07-29","프라임","July","Sunday",10000,"주말"
10,"2018-07-29","데이라이트","July","Sunday",10000,"주말"
4,"2018-07-28","프라임","July","Saturday",10000,"주말"
10,"2018-07-23","나이트","July","Monday",7000,"평일"
10,"2018-07-19","모닝","July","Thursday",6000,"평일"
10,"2018-07-18","프라임","July","Wednesday",9000,"평일"
10,"2018-07-17","나이트","July","Tuesday",7000,"평일"
1,"2018-07-14","프라임","July","Saturday",10000,"주말"
10,"2018-07-14","나이트","July","Saturday",8000,"주말"
9,"2018-07-13","모닝","July","Friday",7000,"주말"
8,"2018-07-11","나이트","July","Wednesday",7000,"평일"
10,"2018-07-08","프라임","July","Sunday",10000,"주말"
9,"2018-07-08","데이라이트","July","Sunday",10000,"주말"
10,"2018-07-08","브런치","July","Sunday",10000,"주말"
1,"2018-07-06","나이트","July","Friday",8000,"주말"
9,"2018-07-05","나이트","July","Thursday",7000,"평일"
10,"2018-07-04","문라이트","July","Wednesday",8000,"평일"
10,"2018-07-04","데이라이트","July","Wednesday",9000,"평일"
10,"2018-07-02","데이라이트","July","Monday",9000,"평일"
10,"2018-07-02","나이트","July","Monday",7000,"평일"
10,"2018-06-28","프라임","June","Thursday",9000,"평일"
10,"2018-06-28","나이트","June","Thursday",7000,"평일"
10,"2018-06-27","프라임","June","Wednesday",9000,"평일"
9,"2018-06-27","모닝","June","Wednesday",6000,"평일"
10,"2018-06-27","나이트","June","Wednesday",7000,"평일"
10,"2018-06-23","나이트","June","Saturday",8000,"주말"
5,"2018-06-21","브런치","June","Thursday",8000,"평일"
10,"2018-06-16","프라임","June","Saturday",10000,"주말"
7,"2018-06-16","데이라이트","June","Saturday",10000,"주말"
10,"2018-06-16","브런치","June","Saturday",10000,"주말"
10,"2018-06-11","문라이트","June","Monday",8000,"평일"
9,"2018-06-11","브런치","June","Monday",8000,"평일"
8,"2018-06-10","프라임","June","Sunday",10000,"주말"
10,"2018-06-10","데이라이트","June","Sunday",10000,"주말"
3,"2018-06-09","데이라이트","June","Saturday",10000,"주말"
7,"2018-06-08","문라이트","June","Friday",10000,"주말"
10,"2018-06-04","브런치","June","Monday",8000,"평일"
7,"2018-06-02","데이라이트","June","Saturday",10000,"주말"
10,"2018-05-28","문라이트","May","Monday",8000,"평일"
10,"2018-05-25","프라임","May","Friday",10000,"주말"
10,"2018-05-25","프라임","May","Friday",10000,"주말"
7,"2018-05-25","나이트","May","Friday",8000,"주말"
10,"2018-05-24","프라임","May","Thursday",9000,"평일"
10,"2018-05-23","나이트","May","Wednesday",7000,"평일"
6,"2018-05-22","나이트","May","Tuesday",7000,"평일"
3,"2018-05-22","나이트","May","Tuesday",7000,"평일"
1,"2018-05-20","데이라이트","May","Sunday",10000,"주말"
10,"2018-05-19","데이라이트","May","Saturday",10000,"주말"
10,"2018-05-16","문라이트","May","Wednesday",8000,"평일"
9,"2018-05-11","브런치","May","Friday",10000,"주말"
1,"2018-05-06","프라임","May","Sunday",10000,"주말"
10,"2018-05-05","브런치","May","Saturday",10000,"주말"
1,"2018-05-01","데이라이트","May","Tuesday",9000,"평일"
9,"2018-05-01","모닝","May","Tuesday",6000,"평일"
1,"2018-04-29","나이트","April","Sunday",8000,"주말"
7,"2018-04-28","프라임","April","Saturday",10000,"주말"
10,"2018-04-28","브런치","April","Saturday",10000,"주말"
10,"2018-04-26","브런치","April","Thursday",8000,"평일"
9,"2018-04-26","모닝","April","Thursday",6000,"평일"
6,"2018-04-25","데이라이트","April","Wednesday",9000,"평일"
9,"2018-04-25","나이트","April","Wednesday",7000,"평일"
8,"2018-04-24","모닝","April","Tuesday",6000,"평일"
6,"2018-04-23","데이라이트","April","Monday",9000,"평일"
7,"2018-04-19","문라이트","April","Thursday",8000,"평일"
10,"2018-04-18","프라임","April","Wednesday",9000,"평일"
10,"2018-04-18","나이트","April","Wednesday",7000,"평일"
7,"2018-04-17","문라이트","April","Tuesday",8000,"평일"
8,"2018-04-17","브런치","April","Tuesday",8000,"평일"
10,"2018-04-16","데이라이트","April","Monday",9000,"평일"
6,"2018-04-13","나이트","April","Friday",8000,"주말"
10,"2018-04-12","데이라이트","April","Thursday",9000,"평일"
8,"2018-04-09","문라이트","April","Monday",8000,"평일"
10,"2018-04-06","프라임","April","Friday",10000,"주말"
10,"2018-04-03","나이트","April","Tuesday",7000,"평일"
10,"2018-04-02","프라임","April","Monday",9000,"평일"
9,"2018-03-31","나이트","March","Saturday",8000,"주말"
8,"2018-03-29","프라임","March","Thursday",9000,"평일"
10,"2018-03-29","나이트","March","Thursday",7000,"평일"
1,"2018-03-26","프라임","March","Monday",9000,"평일"
10,"2018-03-26","나이트","March","Monday",7000,"평일"
8,"2018-03-22","프라임","March","Thursday",9000,"평일"
10,"2018-03-22","나이트","March","Thursday",7000,"평일"
5,"2018-03-21","나이트","March","Wednesday",7000,"평일"
10,"2018-03-21","나이트","March","Wednesday",7000,"평일"
10,"2018-03-19","프라임","March","Monday",9000,"평일"
9,"2018-03-16","나이트","March","Friday",8000,"주말"
10,"2018-03-15","프라임","March","Thursday",9000,"평일"
4,"2018-03-14","모닝","March","Wednesday",6000,"평일"
8,"2018-03-12","데이라이트","March","Monday",9000,"평일"
8,"2018-03-12","나이트","March","Monday",7000,"평일"
10,"2018-03-07","나이트","March","Wednesday",7000,"평일"
10,"2018-03-05","브런치","March","Monday",8000,"평일"
5,"2018-03-05","브런치","March","Monday",8000,"평일"
7,"2018-03-05","브런치","March","Monday",8000,"평일"
4,"2018-03-03","프라임","March","Saturday",10000,"주말"
10,"2018-02-28","모닝","February","Wednesday",6000,"평일"
10,"2018-02-28","나이트","February","Wednesday",7000,"평일"
10,"2018-02-27","문라이트","February","Tuesday",8000,"평일"
7,"2018-02-27","문라이트","February","Tuesday",8000,"평일"
2,"2018-02-27","프라임","February","Tuesday",9000,"평일"
2,"2018-02-25","모닝","February","Sunday",7000,"주말"
9,"2018-02-24","브런치","February","Saturday",10000,"주말"
9,"2018-02-23","프라임","February","Friday",10000,"주말"
10,"2018-02-20","데이라이트","February","Tuesday",9000,"평일"
6,"2018-02-19","나이트","February","Monday",7000,"평일"
10,"2018-02-17","프라임","February","Saturday",10000,"주말"
1,"2018-02-16","모닝","February","Friday",7000,"주말"
1,"2018-02-16","나이트","February","Friday",8000,"주말"
8,"2018-02-15","프라임","February","Thursday",9000,"평일"
10,"2018-02-13","나이트","February","Tuesday",7000,"평일"
10,"2018-02-11","프라임","February","Sunday",10000,"주말"
4,"2018-02-11","브런치","February","Sunday",10000,"주말"
10,"2018-02-11","나이트","February","Sunday",8000,"주말"
8,"2018-02-07","프라임","February","Wednesday",9000,"평일"
6,"2018-02-06","모닝","February","Tuesday",6000,"평일"
7,"2018-02-06","모닝","February","Tuesday",6000,"평일"
1,"2018-02-05","모닝","February","Monday",6000,"평일"
10,"2018-02-03","나이트","February","Saturday",8000,"주말"
10,"2018-02-02","프라임","February","Friday",10000,"주말"
10,"2018-02-02","나이트","February","Friday",8000,"주말"
1,"2018-01-30","데이라이트","January","Tuesday",9000,"평일"
7,"2018-01-24","나이트","January","Wednesday",7000,"평일"
10,"2018-01-23","데이라이트","January","Tuesday",9000,"평일"
9,"2018-01-22","프라임","January","Monday",9000,"평일"
9,"2018-01-22","데이라이트","January","Monday",9000,"평일"
10,"2018-01-22","나이트","January","Monday",7000,"평일"
1,"2018-01-21","프라임","January","Sunday",10000,"주말"
10,"2018-01-21","나이트","January","Sunday",8000,"주말"
10,"2018-01-19","모닝","January","Friday",7000,"주말"
10,"2018-01-18","문라이트","January","Thursday",8000,"평일"
10,"2018-01-18","프라임","January","Thursday",9000,"평일"
10,"2018-01-18","프라임","January","Thursday",9000,"평일"
4,"2018-01-17","문라이트","January","Wednesday",8000,"평일"
10,"2018-01-17","나이트","January","Wednesday",7000,"평일"
9,"2018-01-17","나이트","January","Wednesday",7000,"평일"
10,"2018-01-17","나이트","January","Wednesday",7000,"평일"
10,"2018-01-14","프라임","January","Sunday",10000,"주말"
10,"2018-01-14","데이라이트","January","Sunday",10000,"주말"
1,"2018-01-14","브런치","January","Sunday",10000,"주말"
6,"2018-01-14","나이트","January","Sunday",8000,"주말"
8,"2018-01-13","문라이트","January","Saturday",10000,"주말"
7,"2018-01-12","문라이트","January","Friday",10000,"주말"
4,"2018-01-11","나이트","January","Thursday",7000,"평일"
9,"2018-01-10","프라임","January","Wednesday",9000,"평일"
10,"2018-01-09","프라임","January","Tuesday",9000,"평일"
10,"2018-01-08","모닝","January","Monday",6000,"평일"
8,"2018-01-04","프라임","January","Thursday",9000,"평일"
10,"2018-01-03","문라이트","January","Wednesday",8000,"평일"
10,"2018-01-03","데이라이트","January","Wednesday",9000,"평일"
10,"2018-01-03","나이트","January","Wednesday",7000,"평일"
8,"2018-01-02","문라이트","January","Tuesday",8000,"평일"
10,"2018-01-02","나이트","January","Tuesday",7000,"평일"
10,"2018-01-01","프라임","January","Monday",9000,"평일"
8,"2018-01-01","프라임","January","Monday",9000,"평일"
6,"2018-01-01","브런치","January","Monday",8000,"평일"
1,"2017-12-31","문라이트","December","Sunday",10000,"주말"
1,"2017-12-31","프라임","December","Sunday",10000,"주말"
9,"2017-12-31","프라임","December","Sunday",10000,"주말"
7,"2017-12-31","프라임","December","Sunday",10000,"주말"
9,"2017-12-31","데이라이트","December","Sunday",10000,"주말"
10,"2017-12-30","브런치","December","Saturday",10000,"주말"
7,"2017-12-30","브런치","December","Saturday",10000,"주말"
9,"2017-12-30","모닝","December","Saturday",7000,"주말"
9,"2017-12-30","모닝","December","Saturday",7000,"주말"
8,"2017-12-29","프라임","December","Friday",10000,"주말"
10,"2017-12-29","프라임","December","Friday",10000,"주말"
8,"2017-12-29","브런치","December","Friday",10000,"주말"
10,"2017-12-28","프라임","December","Thursday",9000,"평일"
7,"2017-12-28","데이라이트","December","Thursday",9000,"평일"
2,"2017-12-28","나이트","December","Thursday",7000,"평일"
8,"2017-12-28","나이트","December","Thursday",7000,"평일"
9,"2017-12-27","프라임","December","Wednesday",9000,"평일"
8,"2017-12-26","프라임","December","Tuesday",9000,"평일"
10,"2017-12-26","프라임","December","Tuesday",9000,"평일"
8,"2017-12-25","프라임","December","Monday",9000,"평일"
10,"2017-12-25","프라임","December","Monday",9000,"평일"
9,"2017-12-24","브런치","December","Sunday",10000,"주말"
10,"2017-12-24","브런치","December","Sunday",10000,"주말"
6,"2017-12-24","나이트","December","Sunday",8000,"주말"
8,"2017-12-23","프라임","December","Saturday",10000,"주말"
8,"2017-12-22","브런치","December","Friday",10000,"주말"
5,"2017-12-21","프라임","December","Thursday",9000,"평일"
8,"2017-12-21","브런치","December","Thursday",8000,"평일"
1,"2017-12-21","나이트","December","Thursday",7000,"평일"
